Date,State,Channel,Product,Volume,Data Type
2022-02-01,MS,DIGITAL,PDL,1203.0,Historical
2022-02-01,MS,PHYSICAL,ILP,861.0,Historical
2022-02-01,MS,PHYSICAL,PDL,12067.0,Historical
2022-02-01,NV,DIGITAL,ILP,35.0,Historical
2022-02-01,NV,PHYSICAL,ILP,437.0,Historical
2022-02-01,OH,DIGITAL,ILP,1012.0,Historical
2022-02-01,OH,PHYSICAL,ILP,4294.0,Historical
2022-02-01,OK,DIGITAL,ILP,316.0,Historical
2022-02-01,OK,PHYSICAL,ILP,1366.0,Historical
2022-02-01,RI,DIGITAL,PDL,156.0,Historical
2022-02-01,RI,PHYSICAL,PDL,7016.0,Historical
2022-02-01,SC,DIGITAL,PDL,28.0,Historical
2022-02-01,SC,PHYSICAL,PDL,16421.0,Historical
2022-02-01,TN,DIGITAL,PDL,585.0,Historical
2022-02-01,TN,PHYSICAL,PDL,5388.0,Historical
2022-02-01,TX,DIGITAL,ILP,1795.0,Historical
2022-02-01,TX,DIGITAL,PDL,4343.0,Historical
2022-02-01,TX,PHYSICAL,ILP,3847.0,Historical
2022-02-01,TX,PHYSICAL,PDL,8898.0,Historical
2022-02-01,UT,DIGITAL,ILP,9.0,Historical
2022-02-01,UT,PHYSICAL,ILP,46.0,Historical
2022-02-01,WI,DIGITAL,ILP,104.0,Historical
2022-02-01,WI,PHYSICAL,ILP,463.0,Historical
2022-02-01,WY,DIGITAL,PDL,360.0,Historical
2022-02-01,WY,PHYSICAL,PDL,2754.0,Historical
2022-03-01,AL,DIGITAL,ILP,100.0,Historical
2022-03-01,AL,DIGITAL,PDL,1392.0,Historical
2022-03-01,AL,PHYSICAL,ILP,286.0,Historical
2022-03-01,AL,PHYSICAL,PDL,15271.0,Historical
2022-03-01,CA,DIGITAL,PDL,13161.0,Historical
2022-03-01,CA,PHYSICAL,PDL,58386.0,Historical
2022-03-01,CO,DIGITAL,ILP,320.0,Historical
2022-03-01,CO,PHYSICAL,ILP,2274.0,Historical
2022-03-01,DE,DIGITAL,ILP,48.0,Historical
2022-03-01,DE,PHYSICAL,ILP,210.0,Historical
2022-03-01,FL,DIGITAL,ILP,2615.0,Historical
2022-03-01,FL,DIGITAL,PDL,4109.0,Historical
2022-03-01,FL,PHYSICAL,ILP,12346.0,Historical
2022-03-01,FL,PHYSICAL,PDL,38122.0,Historical
2022-03-01,IA,DIGITAL,PDL,596.0,Historical
2022-03-01,IA,PHYSICAL,PDL,8914.0,Historical
2022-03-01,ID,DIGITAL,ILP,23.0,Historical
2022-03-01,ID,PHYSICAL,ILP,128.0,Historical
2022-03-01,IN,DIGITAL,PDL,1128.0,Historical
2022-03-01,IN,PHYSICAL,PDL,14921.0,Historical
2022-03-01,KS,DIGITAL,PDL,382.0,Historical
2022-03-01,KS,PHYSICAL,PDL,4355.0,Historical
2022-03-01,KY,DIGITAL,PDL,1.0,Historical
2022-03-01,KY,PHYSICAL,PDL,7769.0,Historical
2022-03-01,LA,DIGITAL,PDL,2264.0,Historical
2022-03-01,LA,PHYSICAL,PDL,14233.0,Historical
2022-03-01,MI,DIGITAL,PDL,7549.0,Historical
2022-03-01,MI,PHYSICAL,PDL,33925.0,Historical
2022-03-01,MO,DIGITAL,ILP,260.0,Historical
2022-03-01,MO,DIGITAL,PDL,743.0,Historical
2022-03-01,MO,PHYSICAL,ILP,1259.0,Historical
2022-03-01,MO,PHYSICAL,PDL,5138.0,Historical
2022-03-01,MS,DIGITAL,ILP,201.0,Historical
2022-03-01,MS,DIGITAL,PDL,1245.0,Historical
2022-03-01,MS,PHYSICAL,ILP,1096.0,Historical
2022-03-01,MS,PHYSICAL,PDL,11588.0,Historical
2022-03-01,NV,DIGITAL,ILP,53.0,Historical
2022-03-01,NV,PHYSICAL,ILP,455.0,Historical
2022-03-01,OH,DIGITAL,ILP,1275.0,Historical
2022-03-01,OH,PHYSICAL,ILP,5290.0,Historical
2022-03-01,OK,DIGITAL,ILP,433.0,Historical
2022-03-01,OK,PHYSICAL,ILP,1706.0,Historical
2022-03-01,RI,DIGITAL,PDL,206.0,Historical
2022-03-01,RI,PHYSICAL,PDL,7056.0,Historical
2022-03-01,SC,DIGITAL,PDL,25.0,Historical
2022-03-01,SC,PHYSICAL,PDL,13724.0,Historical
2022-03-01,TN,DIGITAL,PDL,635.0,Historical
2022-03-01,TN,PHYSICAL,PDL,5232.0,Historical
2022-03-01,TX,DIGITAL,ILP,2074.0,Historical
2022-03-01,TX,DIGITAL,PDL,4294.0,Historical
2022-03-01,TX,PHYSICAL,ILP,4616.0,Historical
2022-03-01,TX,PHYSICAL,PDL,8995.0,Historical
2022-03-01,UT,DIGITAL,ILP,17.0,Historical
2022-03-01,UT,PHYSICAL,ILP,82.0,Historical
2022-03-01,WI,DIGITAL,ILP,182.0,Historical
2022-03-01,WI,PHYSICAL,ILP,566.0,Historical
2022-03-01,WY,DIGITAL,PDL,413.0,Historical
2022-03-01,WY,PHYSICAL,PDL,3004.0,Historical
2022-04-01,AL,DIGITAL,ILP,86.0,Historical
2022-04-01,AL,DIGITAL,PDL,1529.0,Historical
2022-04-01,AL,PHYSICAL,ILP,451.0,Historical
2022-04-01,AL,PHYSICAL,PDL,16179.0,Historical
2022-04-01,CA,DIGITAL,PDL,13800.0,Historical
2022-04-01,CA,PHYSICAL,PDL,61918.0,Historical
2022-04-01,CO,DIGITAL,ILP,343.0,Historical
2022-04-01,CO,PHYSICAL,ILP,2340.0,Historical
2022-04-01,DE,DIGITAL,ILP,57.0,Historical
2022-04-01,DE,PHYSICAL,ILP,233.0,Historical
2022-04-01,FL,DIGITAL,ILP,2790.0,Historical
2022-04-01,FL,DIGITAL,PDL,4349.0,Historical
2022-04-01,FL,PHYSICAL,ILP,14867.0,Historical
2022-04-01,FL,PHYSICAL,PDL,38255.0,Historical
2022-04-01,IA,DIGITAL,PDL,684.0,Historical
2022-04-01,IA,PHYSICAL,PDL,9658.0,Historical
2022-04-01,ID,DIGITAL,ILP,19.0,Historical
2022-04-01,ID,PHYSICAL,ILP,134.0,Historical
2022-04-01,IN,DIGITAL,PDL,1253.0,Historical
2022-04-01,IN,PHYSICAL,PDL,16675.0,Historical
2022-04-01,KS,DIGITAL,PDL,419.0,Historical
2022-04-01,KS,PHYSICAL,PDL,4211.0,Historical
2022-04-01,KY,DIGITAL,PDL,1.0,Historical
2022-04-01,KY,PHYSICAL,PDL,8382.0,Historical
2022-04-01,LA,DIGITAL,PDL,2456.0,Historical
2022-04-01,LA,PHYSICAL,PDL,15122.0,Historical
2022-04-01,MI,DIGITAL,PDL,7938.0,Historical
2022-04-01,MI,PHYSICAL,PDL,35915.0,Historical
2022-04-01,MO,DIGITAL,ILP,268.0,Historical
2022-04-01,MO,DIGITAL,PDL,850.0,Historical
2022-04-01,MO,PHYSICAL,ILP,1302.0,Historical
2022-04-01,MO,PHYSICAL,PDL,5563.0,Historical
2022-04-01,MS,DIGITAL,ILP,229.0,Historical
2022-04-01,MS,DIGITAL,PDL,1380.0,Historical
2022-04-01,MS,PHYSICAL,ILP,1647.0,Historical
2022-04-01,MS,PHYSICAL,PDL,12600.0,Historical
2022-04-01,NV,DIGITAL,ILP,48.0,Historical
2022-04-01,NV,PHYSICAL,ILP,432.0,Historical
2022-04-01,OH,DIGITAL,ILP,1413.0,Historical
2022-04-01,OH,PHYSICAL,ILP,5968.0,Historical
2022-04-01,OK,DIGITAL,ILP,423.0,Historical
2022-04-01,OK,PHYSICAL,ILP,1915.0,Historical
2022-04-01,RI,DIGITAL,PDL,235.0,Historical
2022-04-01,RI,PHYSICAL,PDL,7632.0,Historical
2022-04-01,TN,DIGITAL,PDL,568.0,Historical
2022-04-01,TN,PHYSICAL,PDL,5038.0,Historical
2022-04-01,TX,DIGITAL,ILP,2193.0,Historical
2022-04-01,TX,DIGITAL,PDL,4850.0,Historical
2022-04-01,TX,PHYSICAL,ILP,4996.0,Historical
2022-04-01,TX,PHYSICAL,PDL,9733.0,Historical
2022-04-01,UT,DIGITAL,ILP,14.0,Historical
2022-04-01,UT,PHYSICAL,ILP,51.0,Historical
2022-04-01,WI,DIGITAL,ILP,167.0,Historical
2022-04-01,WI,PHYSICAL,ILP,660.0,Historical
2022-04-01,WY,DIGITAL,PDL,385.0,Historical
2022-04-01,WY,PHYSICAL,PDL,3032.0,Historical
2022-05-01,AL,DIGITAL,ILP,87.0,Historical
2022-05-01,AL,DIGITAL,PDL,1598.0,Historical
2022-05-01,AL,PHYSICAL,ILP,380.0,Historical
2022-05-01,AL,PHYSICAL,PDL,14599.0,Historical
2022-05-01,CA,DIGITAL,PDL,14106.0,Historical
2022-05-01,CA,PHYSICAL,PDL,57747.0,Historical
2022-05-01,CO,DIGITAL,ILP,331.0,Historical
2022-05-01,CO,PHYSICAL,ILP,2433.0,Historical
2022-05-01,DE,DIGITAL,ILP,39.0,Historical
2022-05-01,DE,PHYSICAL,ILP,228.0,Historical
2022-05-01,FL,DIGITAL,ILP,2992.0,Historical
2022-05-01,FL,DIGITAL,PDL,4444.0,Historical
2022-05-01,FL,PHYSICAL,ILP,15037.0,Historical
2022-05-01,FL,PHYSICAL,PDL,34859.0,Historical
2022-05-01,IA,DIGITAL,PDL,733.0,Historical
2022-05-01,IA,PHYSICAL,PDL,9386.0,Historical
2022-05-01,ID,DIGITAL,ILP,21.0,Historical
2022-05-01,ID,PHYSICAL,ILP,117.0,Historical
2022-05-01,IN,DIGITAL,PDL,1333.0,Historical
2022-05-01,IN,PHYSICAL,PDL,16242.0,Historical
2022-05-01,KS,DIGITAL,PDL,416.0,Historical
2022-05-01,KS,PHYSICAL,PDL,3426.0,Historical
2022-05-01,KY,DIGITAL,PDL,1.0,Historical
2022-05-01,KY,PHYSICAL,PDL,7614.0,Historical
2022-05-01,LA,DIGITAL,PDL,2451.0,Historical
2022-05-01,LA,PHYSICAL,PDL,12950.0,Historical
2022-05-01,MI,DIGITAL,PDL,8289.0,Historical
2022-05-01,MI,PHYSICAL,PDL,35209.0,Historical
2022-05-01,MO,DIGITAL,ILP,288.0,Historical
2022-05-01,MO,DIGITAL,PDL,793.0,Historical
2022-05-01,MO,PHYSICAL,ILP,1388.0,Historical
2022-05-01,MO,PHYSICAL,PDL,4970.0,Historical
